X,Y,OBJECTID,COUNTY,DATE_STAMP,DESCRIPTION_BSL,DIRECTION_OP,DIST,DLAT_GIS,DLONG_GIS,MB_DIR,MUNICIPALITY,PLACE_NO,STOP_NUM,STOP_TYPE,STREET_DIR,ALL_LINES
545614.524759412,868378.129936568,14742,Orange,2024/09/15 00:00:00+00,RT-210 AT CASCADE RD,In,0,41.21716,-74.30551,,GREENWOOD LAKE,,26227,NS,S,"196, 197"
569975.004253577,335294.144597486,14743,Ocean,2024/09/15 00:00:00+00,US-9 AT BAY AVE,Ou,0,39.75361,-74.22304,,BARNEGAT TWP,,26270,NS,S,559
545233.825717662,867207.021386407,14744,Orange,2024/09/15 00:00:00+00,RT-210 AT HEMLOCK HILL RD,In,0,41.21396,-74.30692,,GREENWOOD LAKE,,26228,NS,S,"196, 197"
567263.039533161,331159.021634154,14745,Ocean,2024/09/15 00:00:00+00,US-9 AT GUNNING RIVER RD,Ou,0,39.74228,-74.23272,,BARNEGAT TWP,,26271,NS,S,559
633221.484715745,700837.319021486,14746,New York,2024/09/14 00:00:00+00,PORT AUTHORITY BUS TERMINAL,Ou,0,40.75637,-73.99075,,NEW YORK,NWYKPABT,26229,TM,N,"101, 105, 107, 108, 111, 112, 113, 114, 115, 116, 117, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 135, 136, 137, 138, 139, 144, 145, 148, 151, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 177, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 319, 320, 321, 324, 355"
568160.63485083,332602.053196907,14747,Ocean,2024/09/15 00:00:00+00,US-9 AT LOWER SHORE RD,Ou,0,39.74623,-74.22955,,BARNEGAT TWP,,26272,NS,S,559
582213.341325413,738663.486151159,14748,Passaic,2024/09/15 00:00:00+00,BROAD ST 200'S OF NOTCH RD,Ou,200,40.86085,-74.17437,S,CLIFTON,,26675,MB,N,"192, 199, 72"
565950.71702658,327610.336146235,14749,Ocean,2024/09/15 00:00:00+00,US-9 AT GEORGETOWN BLVD,Ou,0,39.73254,-74.23744,,BARNEGAT TWP,,26273,NS,S,559
583653.052356746,741725.913097158,14750,Passaic,2024/09/15 00:00:00+00,BROAD ST AT VAN HOUTEN AVE,Ou,0,40.86923,-74.16907,,CLIFTON,BRD&VHTN,26676,NS,N,72
566268.780694913,328074.643944658,14751,Ocean,2024/09/15 00:00:00+00,US-9 AT TAYLOR LN,In,0,39.73384,-74.23637,,BARNEGAT TWP,,26274,NS,N,559
